Kalman_Set,Position_RMSE,Position_MAE,Velocity_RMSE,Velocity_MAE
Set 1,0.0129516739398241,0.00577052775770426,0.674734175205231,0.29831251502037
Set 2,0.000832675432320684,0.000296659214654937,0.24218624830246,0.105228036642075
Set 3,0.000719577772542834,0.000196730907191522,0.182332366704941,0.0742571949958801
Set 4,0.000807127100415528,0.000262590445345268,0.163524329662323,0.0718647837638855
Set 5,0.00118406221736223,0.000462166412035003,0.242291375994682,0.105276130139828
Set 6,0.0136348130181432,0.00605260394513607,0.674883186817169,0.29832249879837
